gene_accession,A_B1_alignment_dedup,PT010H2T0_alignment_dedup,A_P1_alignment_dedup,A_P2_alignment_dedup,A_B2_alignment_dedup,UK034D1T0_alignment_dedup,PT131D1T0_alignment_dedup,UK020D1T0_alignment_dedup,UK008H1T0_alignment_dedup,A_H2_alignment_dedup,A_H1_alignment_dedup
MEG_293|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,0,0,0,22.0
MEG_4293|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPMD,0,52.0,0,0,0,0,0,0,0,0,0
MEG_6997|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44,3777.0,3395.0,3772.0,3755.0,3783.0,830.0,153.0,0,1572.0,2891.0,3671.0
MEG_1002|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0,0,0,0,10.0,0,0,0,0,0,0
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,2343.0,1845.0,2181.0,2272.0,2458.0,1929.0,1437.0,1271.0,1730.0,2445.0,2415.0
MEG_4843|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,10.0,0,0,266.0,0,898.0,0,0,0
MEG_2677|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,202.0,263.0,181.0,460.0,162.0,48.0,684.0,788.0,598.0,0,0
MEG_958|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,98.0,67.0,0,0,0,0,0,90.0,0
MEG_785|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,130.0,82.0,54.0,0,0,0,0,103.0,113.0
MEG_6989|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET39,0,0,23.0,144.0,0,0,0,0,0,85.0,203.0
MEG_5782|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_regulator|PHOB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,38.0,0
MEG_1229|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|BEXA,0,1362.0,0,0,0,0,0,0,1434.0,23.0,23.0
MEG_6680|Drugs|betalactams|Class_A_betalactamases|TEM,146.0,0,65.0,272.0,37.0,0,663.0,0,0,0,0
MEG_3602|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA,0,0,96.0,76.0,0,0,0,0,0,0,0
MEG_7828|Metals|Copper_resistance|Copper_resistance_protein|YFMO,0,0,0,0,16.0,0,0,0,0,0,0
MEG_3621|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUP,893.0,443.0,912.0,911.0,895.0,790.0,644.0,235.0,57.0,42.0,55.0
MEG_7198|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS,118.0,0,242.0,886.0,172.0,0,206.0,0,0,46.0,136.0
MEG_918|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,19.0,0,0,0,0,0,0,0
MEG_2457|Metals|Copper_resistance|Copper_resistance_protein|CUTE,2737.0,2082.0,2648.0,2956.0,2339.0,696.0,2877.0,2863.0,2678.0,140.0,163.0
MEG_2748|Drugs|MLS|Macrolide_esterases|EREA,0,0,0,0,0,0,0,0,0,833.0,886.0
MEG_1086|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,330.0,231.0,597.0,690.0,403.0,169.0,0,0,30.0,938.0,929.0
MEG_4175|Metals|Nickel_resistance|Nickel_ABC_efflux_regulator|NIKR,73.0,0,57.0,89.0,59.0,6.0,0,110.0,11.0,0,0
MEG_3826|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,0,154.0,0,0,90.0,0,0,0,0,650.0,1066.0
MEG_1054|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,273.0,214.0,531.0,592.0,336.0,187.0,0,0,0,812.0,839.0
MEG_2043|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|COPBM,3247.0,0,0,0,2413.0,0,0,0,0,0,48.0
MEG_821|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,43.0,35.0
MEG_1486|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CADD,8.0,0,117.0,124.0,21.0,0,102.0,0,0,0,0
MEG_6720|Drugs|betalactams|Class_A_betalactamases|TEM,59.0,0,0,74.0,0,0,319.0,0,0,0,0
